method,condition,subject_id,slice_id,seed,num_steps,l_ss,likelihood_type,lambda,runtime_seconds,num_net_evals,nrmse,psnr,ssim,measured_kspace_err,heldout_kspace_err,nrmse_fullfov,psnr_fullfov,ssim_fullfov,brain_fraction,heldout_kspace_err_allcoef
comp4_ft,joint_quad_comp,2022120401,10,0,100,30.0,DPS,,14.984103441238403,100,0.12853819557529803,27.25498138056265,0.7359805948145516,0.2608188986778259,0.8500205874443054,0.3228912992502162,23.57777087226602,0.432712022771775,0.282684326171875,0.4604663848876953
comp4_ft,joint_quad_comp,2022120402,12,0,100,30.0,DPS,,14.274461269378662,100,0.12321367379013497,27.99251469700717,0.7795313518030521,0.2768619954586029,0.8166886568069458,0.3313472547952246,24.104530442516456,0.46739708511355393,0.16168212890625,0.4699932336807251
comp4_ft,joint_quad_comp,2022120402,13,0,100,30.0,DPS,,14.96756362915039,100,0.12078584500889278,26.784252071252848,0.7331979849011158,0.2868700325489044,0.7989897131919861,0.3508096365805353,22.407159947854026,0.41116889859639594,0.079345703125,0.48246902227401733
comp4_ft,joint_quad_comp,2022120404,8,0,100,30.0,DPS,,14.329792499542236,100,0.1195665759885393,27.940249816321398,0.767011335530195,0.25181475281715393,0.8611556887626648,0.3177519863113324,23.826033915005954,0.43904538374079366,0.2799530029296875,0.44721314311027527
comp4_ft,joint_quad_comp,2022120404,9,0,100,30.0,DPS,,14.968911409378052,100,0.10270798775572546,29.016324748366177,0.7915451450454845,0.2545914351940155,0.8626852035522461,0.3137250741178262,23.761993911167615,0.4408358825797209,0.26031494140625,0.44049009680747986
comp4_ft,joint_quad_comp,2022120404,10,0,100,30.0,DPS,,14.185634851455688,100,0.12344452089695054,27.699476775089007,0.7338875185817915,0.2630493640899658,0.8598459959030151,0.3222468116678748,23.67994383208794,0.4331634131072493,0.2296905517578125,0.4582695960998535
comp4_ft,joint_quad_comp,2022120406,8,0,100,30.0,DPS,,14.944242715835571,100,0.12814350758959014,26.542295203021848,0.7478309857843108,0.2616630792617798,0.7961365580558777,0.3241034900558999,22.984907509721396,0.43498254259466745,0.2564849853515625,0.4557681977748871
comp4_ft,joint_quad_comp,2022120406,9,0,100,30.0,DPS,,14.178066968917847,100,0.13028559951229146,26.31930452567889,0.7468704059703528,0.2594726085662842,0.8043040037155151,0.3185030295639574,22.96185857760236,0.4461779439824267,0.235595703125,0.45020461082458496
comp4_ft,joint_quad_comp,2022120406,10,0,100,30.0,DPS,,14.98440408706665,100,0.12864746306711453,25.688917391306415,0.737226297996352,0.26794958114624023,0.7849416136741638,0.3258231690736961,23.67507013220663,0.44839581645282506,0.2180023193359375,0.46172550320625305
comp4_ft,joint_quad_comp,2022120407,8,0,100,30.0,DPS,,14.41787075996399,100,0.12439723649434248,28.621176717786344,0.7818876268153,0.26796504855155945,0.7710849642753601,0.3270931265000651,24.53854830613104,0.44718809605270127,0.25726318359375,0.4590431749820709
