method,subject_id,nrmse,psnr,ssim,measured_kspace_err,heldout_kspace_err,runtime_seconds,num_net_evals,heldout_kspace_err_allcoef,ssim_fullfov,nrmse_fullfov,psnr_fullfov,brain_fraction
M13,2022101201,0.14173687655239853,25.520622224630227,0.7298423815507692,0.25203955670197803,0.8611810406049093,14.59663470586141,100.0,0.45134613911310834,0.3966208827017623,0.33590841262998516,22.807910739886108,0.260162353515625
M13,2022101204,0.1509643761118561,25.98161017666487,0.7304195058475486,0.24715723594029745,0.8009161750475565,14.374480565388998,100.0,0.432191660006841,0.42501198156365083,0.3230179150850297,23.729890657002333,0.2785237630208333
M13,2022101301,0.15337549685337928,25.54416743367929,0.6991476043017203,0.2631521224975586,0.8318982521692911,14.622271855672201,100.0,0.4655132293701172,0.40735111019588754,0.34702115281135887,22.66667507282122,0.2718658447265625
M13,2022101302,0.17550536697130315,23.476350667700725,0.6893896373452328,0.2671339710553487,0.8473219871520996,14.357290824254354,100.0,0.47153719266255695,0.4137000939318745,0.3500213036597298,21.956912597949685,0.22681172688802084
M13,2022101303,0.1336209568277089,25.421582665165346,0.8413020857330117,0.24295061330000556,0.802317221959432,14.603523254394531,100.0,0.4283476074536641,0.4451028789501996,0.30920571472694164,23.90512496616878,0.07523600260416667
M13,2022112702,0.1475394019237207,25.672665710392938,0.6888086569917351,0.24993451436360678,0.8410395185152689,14.358532985051474,100.0,0.4479285975297292,0.39203403904263706,0.340337711695212,23.05060301091444,0.24625651041666666
M13,2022112704,0.13998695837165467,27.02524075758858,0.7455070364003502,0.25643429160118103,0.8380035161972046,14.611709753672281,100.0,0.4531133472919464,0.4457397346848271,0.32154017402501434,24.096812890707227,0.26214599609375
M13,2022120401,0.14910460353843244,25.944413381516117,0.7031325741456219,0.2594762643178304,0.867767333984375,14.432815154393515,100.0,0.4666258990764618,0.4305194350862553,0.3331109072002869,23.19516239473498,0.2919209798177083
M13,2022120402,0.14980815128902486,25.078025915710736,0.6538261651084191,0.26331077019373567,0.8578005234400431,14.639339844385782,100.0,0.4720888634522756,0.3950755590522541,0.34740269600784507,22.23172211280024,0.24783833821614584
M13,2022120403,0.15668263669981966,25.249014007100353,0.6822023105023792,0.24892428517341614,0.8543426791826884,14.343283971150717,100.0,0.45074965556462604,0.41742931490209867,0.3292240012150038,23.03320127064813,0.2789764404296875
M13,2022120404,0.1447874735111304,26.221648698597615,0.6957244851844747,0.2495949168999989,0.8724764188130697,14.588338057200113,100.0,0.454779992500941,0.43240499978653557,0.3240554933196797,23.58967953717388,0.25665283203125
M13,2022120406,0.1548644482882085,24.598690614775123,0.6850190246815115,0.25605120261510206,0.861673374970754,14.338680823644003,100.0,0.4611192643642425,0.4375046848290878,0.32841715278601086,23.058880030627407,0.2366943359375
M13,2022120407,0.1443828649559732,25.964779641908695,0.6977160882857292,0.2536550213893254,0.8189668456713358,14.588913599650065,100.0,0.4498778482278188,0.4329808612799359,0.32267741304239994,23.32798465449262,0.2529856363932292
M13,2022120408,0.13568515400534661,25.975976282786206,0.717872340900664,0.2494872361421585,0.8240178227424622,14.41801087061564,100.0,0.4459892809391022,0.4535013322327392,0.31022674620784846,22.926913846058213,0.24932861328125
M13,2022120409,0.12986766693806864,27.149097978760768,0.7163961841236336,0.25917256871859234,0.839013914267222,14.640751441319784,100.0,0.4534699817498525,0.41919180121750516,0.3275866106071821,23.31302345690608,0.2844441731770833
M13,2022121701,0.15511728246265422,23.91769548777407,0.6570552123181832,0.264204998811086,0.8558719555536906,14.36662745475769,100.0,0.4733082552750905,0.4191726304833576,0.3405666753814187,22.382068042543178,0.20310465494791666
M13,2022121702,0.16270523208394183,24.36127179265979,0.6739212006850207,0.2508794516324997,0.8507988452911377,14.605140129725138,100.0,0.4446583886941274,0.46446518594923186,0.3087627548625693,22.96954104083194,0.2684733072916667
M13,2022121703,0.1627744944611578,24.29337530797987,0.6633136059173979,0.25579561789830524,0.8370554447174072,14.355826218922934,100.0,0.45663610100746155,0.43893573812389636,0.32335773344206203,22.42870526866214,0.261993408203125
M13,2022121705,0.16085915370169412,25.299927373053666,0.7248460241388667,0.2525808314482371,0.8589501976966858,14.604402303695679,100.0,0.4480648338794708,0.4642980546741636,0.3155370408747776,23.55016830734782,0.2730356852213542
M13,2022121706,0.14536413650405325,26.268344654330775,0.6931071085501158,0.2593615651130676,0.8635727167129517,14.364729007085165,100.0,0.45940858125686646,0.43877773666915537,0.3253664306579844,23.396513846056916,0.2921651204427083
M13,2022121707,0.13557224275979007,26.440887977815617,0.7386896370289998,0.285802960395813,0.8686509132385254,14.599252939224243,100.0,0.49970054626464844,0.37536884802869447,0.37819420741023896,22.225060928676935,0.2518463134765625
M13,2022121708,0.16080082943528387,24.675323002857642,0.6540000437668171,0.28352690736452735,0.8793168465296427,14.332018534342447,100.0,0.4938366413116455,0.43077783086647403,0.35061238097349223,22.301799276838963,0.1886749267578125
M14,2022101101,0.1468517366879598,25.166355655047212,0.6952962910680393,0.2587757408618927,0.8548044959704081,14.160717964172363,100.0,0.4662508765856425,0.41690927510601083,0.3367227522661607,22.501132821967147,0.253021240234375
M14,2022101102,0.15834544809648565,24.31740279082057,0.7018515770439459,0.24770932396252945,0.8442753752072653,14.495604038238525,100.0,0.450854351123174,0.4573836602100983,0.31621794454713054,23.260062525026225,0.290924072265625
M14,2022101103,0.13619206858604807,26.212830210081663,0.7245328843890619,0.2747308015823364,0.8673290610313416,14.340388615926107,100.0,0.4828570286432902,0.43091420261852936,0.3405550912415889,22.663041218656527,0.2777506510416667
M14,2022101201,0.1416308883161365,25.52541400041984,0.7330468145289571,0.251984179019928,0.8610772490501404,14.613808075586954,100.0,0.4513086875279744,0.40086942404613085,0.3345315297439801,22.843723954934777,0.260162353515625
M14,2022101204,0.15103699973705498,25.97830793476476,0.7245242203220005,0.24838876227537787,0.8058315912882487,14.406607071558634,100.0,0.4344690144062042,0.43183240876985374,0.3206729012424507,23.7939017394433,0.2785237630208333
M14,2022101301,0.15364253519217427,25.52894520607408,0.6928212001953858,0.26325050989786786,0.8339873751004537,14.63854749997457,100.0,0.4665534794330597,0.40581849887307575,0.34684547639465885,22.67110557513938,0.2718658447265625
M14,2022101302,0.17780814167181758,23.360405090730097,0.6881669041962883,0.26623309652010596,0.8482380112012228,14.345804532368978,100.0,0.47124432524045307,0.4108675329103962,0.351661702005972,21.9161167219996,0.22681172688802084
M14,2022101303,0.1351067540118613,25.327327263090396,0.8370014081180418,0.24341859916845954,0.8026062846183777,14.588360786437988,100.0,0.4286124010880788,0.4447574299627106,0.3094551579983906,23.898104950286832,0.07523600260416667
M14,2022112702,0.14734617636929784,25.690727681270108,0.6935688147369786,0.24947795768578843,0.8418861627578735,14.34176230430603,100.0,0.44809073209762573,0.39533698426281233,0.33835768590253856,23.10044657146085,0.24625651041666666
M14,2022112704,0.14059643929131813,26.987826264311053,0.7454253473534025,0.25688416759173066,0.8406927188237509,14.622517983118692,100.0,0.4542107582092285,0.4523814815183355,0.319540044938561,24.15046649085995,0.26214599609375
M14,2022120401,0.1472233263297249,26.054714894565308,0.7123237152846551,0.2589535017808278,0.867728074391683,14.354952573776245,100.0,0.46602445840835566,0.43235822951178854,0.33263228458222266,23.207406655687482,0.2919209798177083
M14,2022120402,0.14968461376516395,25.08607315448437,0.6526320680444136,0.26308749119440716,0.8594425717989603,14.603640794754028,100.0,0.47240376472473145,0.3973071856877904,0.34664850092832644,22.250560834821744,0.24783833821614584
M14,2022120403,0.15712481542341458,25.224496568300726,0.6808108871275679,0.24902194241682685,0.8555203477541605,14.344456593195597,100.0,0.4510440230369568,0.41876811124498553,0.3283713275179416,23.056208999278823,0.2789764404296875
M14,2022120404,0.14467359871434213,26.22497391783432,0.6992507171959778,0.24903417627016702,0.8738287687301636,14.614062786102295,100.0,0.45495925347010296,0.43113392449543314,0.3246680441957525,23.573681655816163,0.25665283203125
M14,2022120406,0.15598886230142714,24.535694128571222,0.6863722580157732,0.2561244269212087,0.8637374639511108,14.357558806737265,100.0,0.46219868461290997,0.43828329784908177,0.32842483665454064,23.05758961666587,0.2366943359375
M14,2022120407,0.1446965072261741,25.94490024288288,0.7049233979497455,0.25191647311051685,0.8184744517008463,14.598188877105713,100.0,0.44870906074841815,0.43113484494554283,0.3238256249565587,23.29732735053588,0.2529856363932292
M14,2022120408,0.1335980160884848,26.110160652397678,0.7252870829645556,0.2497470676898956,0.8249574303627014,14.366936127344767,100.0,0.4462488094965617,0.4616523105290679,0.3071739397651258,23.011680712793382,0.24932861328125
M14,2022120409,0.13431853945954605,26.8536958402392,0.7062462128025544,0.2585665782292684,0.840809186299642,14.59271502494812,100.0,0.45388175050417584,0.4144918777208419,0.3290339072210663,23.27403972740051,0.2844441731770833
M14,2022121701,0.15656608271955838,23.837540063048426,0.6485992460773943,0.2640449106693268,0.8590505917867025,14.345673402150473,100.0,0.47426337997118634,0.4158058320228059,0.34192843798543104,22.348865846884745,0.20310465494791666
M14,2022121702,0.1581036652915153,24.607147787810575,0.6867474561944608,0.24993372956911722,0.8503521680831909,14.679764032363892,100.0,0.4439095954100291,0.47215310309991837,0.305285357334077,23.067840373314112,0.2684733072916667
