method,condition,subject_id,slice_id,seed,num_steps,l_ss,likelihood_type,lambda,runtime_seconds,num_net_evals,nrmse,psnr,ssim,measured_kspace_err,heldout_kspace_err,nrmse_fullfov,psnr_fullfov,ssim_fullfov,brain_fraction,heldout_kspace_err_allcoef
M0,merge_fixed,2022120404,10,0,0,,,,0.010429143905639648,0,0.21012685634640063,23.079281683691022,0.5228732738364111,0.17263676226139069,0.9893720746040344,0.3579495391831459,22.76728006822006,0.39173965821418616,0.2296905517578125,0.5115010142326355
M0,merge_fixed,2022120406,8,0,0,,,,0.00937199592590332,0,0.22288456899982176,21.73462717376472,0.5156365145915316,0.1791694164276123,0.9805466532707214,0.3691183022786501,21.855269928134117,0.3642476684921718,0.2564849853515625,0.510014533996582
M0,merge_fixed,2022120406,9,0,0,,,,0.009879589080810547,0,0.23791359468638848,21.08884727612235,0.47450125703365037,0.17241160571575165,0.9902647137641907,0.3652191021844356,21.773059855948617,0.38294967258294876,0.235595703125,0.5200449228286743
M0,merge_fixed,2022120406,10,0,0,,,,0.012059211730957031,0,0.22808909636914892,20.71485083352473,0.5018693617020992,0.16800262033939362,0.9903082847595215,0.3636255801155806,22.721620708611226,0.40989573014684727,0.2180023193359375,0.5219110250473022
M0,merge_fixed,2022120407,8,0,0,,,,0.009597063064575195,0,0.23297227508653534,23.171306719645898,0.5648334453055948,0.18273873627185822,0.979683518409729,0.3829523400831185,23.169082279012404,0.39423420128315595,0.25726318359375,0.5301252007484436
M0,merge_fixed,2022120407,9,0,0,,,,0.011377096176147461,0,0.21974399383203524,21.72791214744846,0.5057980271132216,0.1777619868516922,0.9843136072158813,0.37527162468512737,21.41604358227244,0.35693311471983896,0.2559661865234375,0.51602703332901
M0,merge_fixed,2022120407,10,0,0,,,,0.012220621109008789,0,0.2229797227570513,21.39350034840011,0.5024720532827699,0.17102742195129395,0.991069495677948,0.36783780357033546,21.44950803200922,0.36718019248601036,0.2457275390625,0.5130825638771057
M0,merge_fixed,2022120408,8,0,0,,,,0.013316154479980469,0,0.22212340200744088,22.55362318108324,0.5638385899037072,0.18289394676685333,0.9751691818237305,0.37195012785468856,22.10768467071775,0.39503804102036955,0.27801513671875,0.5236458778381348
M0,merge_fixed,2022120408,9,0,0,,,,0.012705087661743164,0,0.22989551832104793,20.91511844652058,0.5123024664866604,0.18675485253334045,0.9806312322616577,0.37551373836089297,20.766656645146142,0.3654564443165699,0.2511749267578125,0.5254886746406555
M0,merge_fixed,2022120408,10,0,0,,,,0.008922338485717773,0,0.23144324889784193,20.941081527662398,0.49517571391748283,0.17321470379829407,0.9818740487098694,0.3602466973192721,21.355401509305864,0.39348709731155024,0.2187957763671875,0.5062053799629211
M0,merge_fixed,2022120409,8,0,0,,,,0.010151386260986328,0,0.22859258780867944,22.332625074235214,0.5431503664041367,0.17863726615905762,0.9828958511352539,0.3863050439799543,21.88851116918851,0.3553796282266725,0.297821044921875,0.5232360363006592
M0,merge_fixed,2022120409,9,0,0,,,,0.009001731872558594,0,0.20928214002505865,22.90988712415642,0.5285966527454827,0.17021721601486206,0.9846989512443542,0.3985843159355323,21.45615669858032,0.3249251892504066,0.292999267578125,0.5344647765159607
M0,merge_fixed,2022120409,10,0,0,,,,0.012010335922241211,0,0.2053891171571184,23.153877384952875,0.5221201422996207,0.17898714542388916,0.9839324355125427,0.37784397025451255,22.21152682000048,0.3518021178304272,0.26251220703125,0.5183410048484802
M0,merge_fixed,2022121701,8,0,0,,,,0.011846780776977539,0,0.23025153337898188,20.305725158471123,0.45944461241729195,0.1720046103000641,0.9856889247894287,0.36596879170549035,21.212288767814368,0.35914784377129855,0.20849609375,0.5103598833084106
M0,merge_fixed,2022121701,9,0,0,,,,0.011333703994750977,0,0.21216594276636305,21.258929919684153,0.5155397942448615,0.1862657368183136,0.9820164442062378,0.36447600243136735,22.03830284901065,0.39128882608479904,0.22967529296875,0.5216042995452881
M0,merge_fixed,2022121701,10,0,0,,,,0.010679960250854492,0,0.21664797184315213,21.12963344040925,0.5196209961437692,0.18769018352031708,0.9868255853652954,0.38220534713345033,21.654212587519126,0.37887822858166265,0.171142578125,0.5470020174980164
M0,merge_fixed,2022121702,8,0,0,,,,0.009029150009155273,0,0.22722897527093153,21.25953367240856,0.5049841635895371,0.1603870987892151,0.9780806303024292,0.33980949352296885,22.010490024019592,0.4081575158294801,0.24884033203125,0.485757052898407
M0,merge_fixed,2022121702,9,0,0,,,,0.009844303131103516,0,0.221237996812912,22.60326416200143,0.5106627734165521,0.16129843890666962,0.9844467639923096,0.35714326037676325,22.256412621682642,0.38974257240379195,0.27587890625,0.5125227570533752
M0,merge_fixed,2022121702,10,0,0,,,,0.009139537811279297,0,0.23301849100983407,20.508186483594862,0.46046895614650535,0.16881392896175385,0.9861759543418884,0.36255894078663237,21.131772407399225,0.38823046528228045,0.28070068359375,0.527633547782898
M0,merge_fixed,2022121703,8,0,0,,,,0.010408163070678711,0,0.223997807836748,21.669095490648203,0.5079379057116133,0.17987987399101257,0.97712242603302,0.37231188843770985,21.212353024019464,0.3713856916863548,0.277984619140625,0.528805136680603
M0,merge_fixed,2022121703,9,0,0,,,,0.011435747146606445,0,0.21090355727313245,21.993209803586385,0.5321712868948174,0.19233191013336182,0.9698400497436523,0.36081707004144015,21.4003944708049,0.38362102296866063,0.2646331787109375,0.5162060856819153
M0,merge_fixed,2022121703,10,0,0,,,,0.011840581893920898,0,0.24343808864898275,20.66163807675678,0.4615219299322931,0.1713329702615738,0.989985466003418,0.37170957926509796,21.28269196290665,0.3892786356543478,0.2433624267578125,0.5302039384841919
M0,merge_fixed,2022121705,8,0,0,,,,0.011822700500488281,0,0.2460414159902018,20.802290256287183,0.4975709023129715,0.1684570461511612,0.9847989678382874,0.37279675723761474,21.55842724473147,0.35645497959055694,0.270263671875,0.5057156085968018
M0,merge_fixed,2022121705,9,0,0,,,,0.011983394622802734,0,0.22963520626786899,22.1357973339793,0.5235082213078581,0.1685422956943512,0.9873581528663635,0.356854946216474,22.322438228402326,0.40263546272880363,0.3026275634765625,0.5166410803794861
M0,merge_fixed,2022121705,10,0,0,,,,0.01135563850402832,0,0.24055098766616304,22.679554655909904,0.5230288936982322,0.17649486660957336,0.9863899946212769,0.3688029598631286,22.891947232124288,0.41452932844585677,0.2462158203125,0.5364593267440796
M0,merge_fixed,2022121706,8,0,0,,,,0.008981943130493164,0,0.21110684781748398,23.343914422096056,0.5800145434933254,0.17671333253383636,0.9843248128890991,0.3493828248471235,23.03404319898132,0.4199217826849277,0.2996673583984375,0.5079917311668396
M0,merge_fixed,2022121706,9,0,0,,,,0.009744405746459961,0,0.20446389218713665,23.875509735368624,0.5397213275272816,0.1844341903924942,0.983013927936554,0.3650946057546623,22.875655595553354,0.38257593097843184,0.29656982421875,0.5132170915603638
M0,merge_fixed,2022121706,10,0,0,,,,0.018423795700073242,0,0.21715518516738166,21.887621720207072,0.49727474717861,0.17271094024181366,0.986028254032135,0.35886068944122695,21.802213525686405,0.3715830408996309,0.2802581787109375,0.5053645968437195
